Name,Day,Time,Video,Desc,Categories,Email,Phone,Time_dt,Time_del,Label_Audio,Label_Open,Label_Video,Label_Forum,Label_Big Book,Label_Discussion,Label_Speaker,Label_Closed,Label_Telephone,Label_Women,Label_Loners / Isolationists,Label_Chat,Label_LGBTQIAA+,Label_Young People,Label_Men,Label_Secular,Label_Steps / Traditions,Label_Game,Label_Blind / Visually Impaired,Label_Deaf / Hard of Hearing,Label_Email,Label_Professionals,Label_Meditation,Label_Seniors,Label_Newcomer,Label_24/7,Zoom
Social Distancing Group,Tuesday,5:00 pm,https://us02web.zoom.us/w/87616151482,Please email sdgaawomen@gmail.com for the password.,"Audio,Closed,Video,Women",lashafer@gmail.com,,17:00:00,0 days 17:00:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
The 3 Leg Group,Tuesday,5:00 pm,https://us02web.zoom.us/j/4521001634?pwd=vhzere5ns2y2ofd6uu9xehntq0h0qt09,“Nonalcoholics may attend as observers”,"Closed,Discussion,Video",Home@The3LegGroup.com,3126266799,17:00:00,0 days 17:00:00.000000000,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
The New Rush Hour Relief,Tuesday,5:00 pm,https://us02web.zoom.us/j/83526726666,"Public Email Contact, if any: thenewrushhour@gmail.com","Audio,Big Book,Discussion,Open,Speaker,Video",thenewrushhour@gmail.com,,17:00:00,0 days 17:00:00.000000000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
There is a solution,Tuesday,5:00 pm,,"If you are interested in doing service for our group, please contact us at  thereisasolution4@gmail.com","Audio,Open,Telephone",thereisasolution4@gmail.com,"4129247123,,,,522178#",17:00:00,0 days 17:00:00.000000000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Worldwide Primary Purpose Group,Tuesday,5:00 pm,https://zoom.us/j/759556794?fbclid=iwar1o3osj_0e-3mepta9-ntvjzn1yh_wqihtife5f3tdh3ippeparxzfl8sa,"10:00 PM CST  12 & 12 - An in-depth  look at our other text, the 12 & 12","Audio,Closed,Video,Women",wwppg@yahoo.com,,17:00:00,0 days 17:00:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
AAOnline Global Chat,Tuesday,5:30 pm,http://aaonline.org,Learn more about us at: aaonline.org,"Big Book,Chat,Discussion,Open,Speaker",ttsoberalcoholic@aaonline.org,,17:30:00,0 days 17:30:00.000000000,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Cabo Hacienda Group,Tuesday,5:30 pm,https://nyintergroup.zoom.us/j/2386523117,Please email cabohaciendagroup@gmail.com for the password.,"Audio,Discussion,Open,Video",cabohaciendagroup@gmail.com,,17:30:00,0 days 17:30:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Columbus Serenity Web Group,Tuesday,5:30 pm,http://columbusserenity.com/,Columbus Serenity Web Groups meetings are rotating format meetings using Zoom chat and phone call in. Follow the link (https://www.ColumbusSerenity.org) to find meeting joining information.,"Audio,Closed,Video",cgcmh1@gmail.com,,17:30:00,0 days 17:30:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Dirty Rotten Drunks,Tuesday,5:30 pm,https://us02web.zoom.us/j/84135211674,"Tuesday 6:30 p.m. discussion meeting following AA member  ""experience strength and hope"" lead,, and kicking out a discussion topic.  We gathered together with George Tyler, dying in a nursing home, to found the meeting which continued there up until Covid shutdown, now on Zoom.  George said we were ""nothing but a bunch of dirty rotten drunks.""","Audio,Discussion,Open,Video",dirtyrottendrunks@gmail.com,,17:30:00,0 days 17:30:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Drama and Drunks: AA for Artists, Dramatists, Writers and more, Oh my!",Tuesday,5:30 pm,https://us02web.zoom.us/j/89700050389,"Zoom Passcode, if any: Please e-mail aaforartists@gmail.com to request passcode for Tuesday meeting.","Audio,Open,Video",aaforartists@gmail.com,,17:30:00,0 days 17:30:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Matawan, NJ: 62nd Rule Group",Tuesday,5:30 pm,https://us02web.zoom.us/j/4218617157,"Zoom Passcode, if any: PW: 000787","Audio,Closed,Discussion,Speaker,Telephone,Video",62ndrulegroup.matawan@gmail.com,16468769923,17:30:00,0 days 17:30:00.000000000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Meditating Peacocks,Tuesday,5:30 pm,,https://www.columbusserenity.org/tuesday,"Audio,Open,Telephone,Video",,"3126266799,,6653642912",17:30:00,0 days 17:30:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
The Shawnee Group,Tuesday,5:30 pm,https://zoom.us/j/9136311212,Email for password: ShawneeGroupAA@gmail.com,"Audio,Closed,Video",ShawneeGroupAA@gmail.com,,17:30:00,0 days 17:30:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Virus or no Virus - 6:30,Tuesday,5:30 pm,https://us06web.zoom.us/j/566890868,"The topic can always be changed based on the desires of the members and we turn to a First Step meeting when a newcomer identifies. We read the Preamble, Steps, Traditions, and 9th Step Promises at the beginning of each meeting and close with chips, 7th tradition, announcements, and 12th tradition reminder, before closing in prayer.","Big Book,Discussion,Open,Speaker,Video",virusornovirus@gmail.com,19292056099,17:30:00,0 days 17:30:00.000000000,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Evening Reflections,Tuesday,5:45 pm,https://us02web.zoom.us/w/979686523,"Meeting Access Code, if any: worksteps","Audio,Closed,Discussion,Video",,,17:45:00,0 days 17:45:00.000000000,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
19th Street Online,Tuesday,6:00 pm,https://us04web.zoom.us/j/92783661054,Web Site: http://www.aaharrisburg.org/local-and-online-meetings-information/,"Audio,Big Book,Closed,Discussion,Video",jowi681@yahoo.com,,18:00:00,0 days 18:00:00.000000000,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
310 at night,Tuesday,6:00 pm,,From: 6:45pm - 6:50pm ET each night before the meeting to welcome new folks.,"Open,Telephone",,"7875097648,,4993276",18:00:00,0 days 18:00:00.000000000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A Vision for You,Tuesday,6:00 pm,https://ohioroundup.org/online-aa-meetings/,"In response to the Coronavirus public health crisis, we are offering online, Zoom-based open LGBT AA meetings Tuesdays at 7pm, Fridays at 8pm, and Saturdays at 9am.","Audio,LGBTQIAA+,Open,Video",geobear7@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
A Way Out,Tuesday,6:00 pm,https://us02web.zoom.us/j/82303359680,Password: Please email awayoutmeeting@gmail.com,"Audio,Big Book,Open,Video",awayoutmeeting@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
AA Friends & Family,Tuesday,6:00 pm,https://us02web.zoom.us/j/5082441937,Saturday: 8am Eastern -- Open Discussion; 7pm Eastern -- Speaker,"Audio,Open,Telephone,Video",aafriendsandfamily01@gmail.com,"13462487799,,5082441937#",18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
AA Serenity Group ( Tampa FL ),Tuesday,6:00 pm,https://us02web.zoom.us/j/78970547193,Email SerenityGroup7pm@hotmail.com for Passcode,"Audio,Open,Video",SerenityGroup7pm@hotmail.com,"16465588656,,,,,,,,78970547193#,,,,,,0#",18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Austin 1313 Online,Tuesday,6:00 pm,https://us05web.zoom.us/j/7525550288?pwd=aklsa0jpwjrrmjhooxvuedzby2jdzz09,No passcode required - waiting room enabled.,"Discussion,Open,Speaker,Video",,,18:00:00,0 days 18:00:00.000000000,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Back to Basics,Tuesday,6:00 pm,https://us02web.zoom.us/j/88472048994?pwd=q2d3yytpuujnztnpyjlsdnvkogt6zz09,Password: 995083,"Audio,Big Book,Open,Video",Tom1989april@gmail.com,16468769923,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Beginners Book Study,Tuesday,6:00 pm,https://us02web.zoom.us/j/7085144655?pwd=axlzavpka0hcve9prtj3a3avogrizz09,"Meeting Access Code, if any: sobriety","Audio,Big Book,Discussion,Open,Video",beginnersbookstudymeeting@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Broad Highway,Tuesday,6:00 pm,https://us02web.zoom.us/j/96416684628,Those who wish to attend will need to email broadhighwayKY@gmail.com at least 30 minutes before meeting to receive  log in number and pass code,"Discussion,Open,Video",BroadHighwayKY@gmail.com,,18:00:00,0 days 18:00:00.000000000,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
East Liberty/Calvary Beginners,Tuesday,6:00 pm,https://zoom.us/j/2980975761,Email: ketner@ketner.com,"Audio,Closed,Video",ketner@ketner.com,"4124419316,,Calvary",18:00:00,0 days 18:00:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Eastern CT Sober Friends 7pm,Tuesday,6:00 pm,https://us02web.zoom.us/j/638777349,An evening daily online topic meeting that has different themes each day of the week. Monday is a 12&12 Step Meeting. Tuesday is a Big Book Meeting. Wednesday is a As Bill Sees It Meeting. Thursday is a Living Sober Meeting. Friday is a Came to Believe Meeting. Saturday is a Daily Reflections Meeting. Sunday is a Tenth Step Meeting. Open to Everyone. Meets at 7pm EST. 7 days a week. Waiting room enabled.,"Audio,Open,Video",easternctsoberfriends@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Grapevine,Tuesday,6:00 pm,https://meet.google.com/kkz-yhct-onr,Google Meet Meeting Code:  kkz-yhct-onr,"Audio,Open,Telephone,Video",TuesdayGrapevine@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
GREAT FACTS SPEAKER,Tuesday,6:00 pm,https://zoom.us/j/635148435?pwd=rle2d0ruwmh0d3psdhjraldxmwjkdz09,The password is 232167,"Audio,Open,Speaker,Video",greatfactsmeeting@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Hawaii Online Meetings,Tuesday,6:00 pm,https://zoom.us/j/5455786334?pwd=s3f6k1hywkhsmenjwfrqnnv6ew9tzz09,"+13462487799,,5455786334# US (Houston)","Audio,Open,Telephone,Video",hawaiionlinemeetings@gmail.com,"13462487799,,5455786334",18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Hawley Wallenpaupack Group,Tuesday,6:00 pm,https://us02web.zoom.us/j/268756562?pwd=uwvlaknlrlpzynpmn2vyau11q1c1qt09,This is a beginners meeting where new comers are encouraged to share fears and doubts in early recovery while getting the chance to hear experienced members share as well,"Audio,Closed,Video",rorr1954@hotmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Indiana friendly Group women's Meeting,Tuesday,6:00 pm,,"Public Email Contact, if any: indianafriendlygroup@gmail.com","Audio,Closed,Video,Women",indianafriendlygroup@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Into Action Group,Tuesday,6:00 pm,https://us02web.zoom.us/j/83563424356?pwd=nhj3bmdzclnioelvzfpvtwnmy0j5dz09,"We decided to become a permanently virtual meeting because in an effort to reach out to individuals with accessibilities issues and those who prefer a virtual format. Anyone with an alcohol problem is welcome!  No passcode required, waiting room enabled.","Audio,Closed,Discussion,Speaker,Telephone,Video",IntoAction1935@gmail.com,6465588656,18:00:00,0 days 18:00:00.000000000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Journey To Recovery,Tuesday,6:00 pm,https://us02web.zoom.us/j/72600169689,"Zoom Passcode, if any: p132","Audio,Closed,Video",JourneyToRecoveryMusk@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LGBTQ+ & Friends AA Online,Tuesday,6:00 pm,,"If you are interested in joining our recurring meetings, please email LGBTQIAA+qandfriendsaa@gmail.com. You will then receive an email acknowledging your request within 24-48 business hours. Additionally, you will receive a meeting invitation to join our meetings (also within that original 24-48 business hours window).","Audio,LGBTQIAA+,Open,Video",lgbtqandfriendsaa@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LOL Group (Lambda on-line),Tuesday,6:00 pm,http://us02web.zoom.us/j/89788907961?pw=di8yvndlb0pumldtewlvdkhrlzq1zz09,Open to all. Meets at 7pm EST daily.,"Audio,Discussion,LGBTQIAA+,Open,Video",Camposisrael0@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mountain Evening,Tuesday,6:00 pm,,Email for participation information.,"Audio,Closed,Video",kay@kayallison.com,,18:00:00,0 days 18:00:00.000000000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"New Soil, New Roots",Tuesday,6:00 pm,https://zoom.us/join,"Meeting Access Code, if any: love","Audio,Discussion,Open,Speaker,Telephone,Video",aa.mtgschedule@gmail.com,"6699006833,,725-309-4299",18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
O*AAT,Tuesday,6:00 pm,https://us02web.zoom.us/j/84451121341,Passcode: 031206,"Audio,Discussion,Open,Telephone,Video",ozaat.today@gmail.com,"19294362866,,,,84451121341#",18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Pass it ON,Tuesday,6:00 pm,https://us02web.zoom.us/j/5748311805,"Zoom Passcode, if any: George74","Audio,Discussion,Open,Speaker,Video",Ghol@windstream.net,5705845018,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Pee\Dee AA,Tuesday,6:00 pm,https://us04web.zoom.us/j/442521837,Open Discussion Meeting,"Audio,Big Book,Open,Video",windgapranch@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Quarantined and Sober 7:00pm,Tuesday,6:00 pm,https://atlantaaa.org/meetings/quarantined-and-sober-virtual/,"Public Email Contact, if any: quarantinedandsober@gmail.com","Audio,Discussion,Open,Speaker,Video",quarantinedandsober@gmail.com,,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Real Talk Recovery,Tuesday,6:00 pm,https://us02web.zoom.us/j/82289830936,Password: 919114,"Audio,Big Book,Discussion,Open,Speaker,Telephone,Video",realtalkrecoveryaa@gmail.com,"88209968751,,2020",18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Renfrew International 12 and 12,Tuesday,6:00 pm,https://us04web.zoom.us/j/531046178,"A meeting based in Renfrew Scotland that does a reading every night from the Twelve Steps and Twelve Traditions then we open up for people to share on the reading we have been going for 16 months now and have people from all over the world joining us Canada, USA, Holland, Australia, Czech Republic, Ireland. No Password Required","Audio,Open,Telephone,Video",renfrewinternational12and12@gmail.com,3126266799,18:00:00,0 days 18:00:00.000000000,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
