Name,Day,Time,Video,Desc,Categories,Email,Phone
Social Distancing Group,Tuesday,5:00 pm,https://us02web.zoom.us/w/87616151482,Please email sdgaawomen@gmail.com for the password.,"Audio,Closed,Tuesday,Video,Women",lashafer@gmail.com,
The 3 Leg Group,Tuesday,5:00 pm,https://us02web.zoom.us/j/4521001634?pwd=VHZERE5nS2Y2OFd6UU9xeHNTQ0h0QT09,“Nonalcoholics may attend as observers”,"Closed,Discussion,Tuesday,Video",Home@The3LegGroup.com,3126266799
The New Rush Hour Relief,Tuesday,5:00 pm,https://us02web.zoom.us/j/83526726666,"Public Email Contact, if any: thenewrushhour@gmail.com","Audio,Big Book,Discussion,Open,Speaker,Tuesday,Video",thenewrushhour@gmail.com,
There is a solution,Tuesday,5:00 pm,,"If you are interested in doing service for our group, please contact us at  thereisasolution4@gmail.com","Audio,Open,Telephone,Tuesday",thereisasolution4@gmail.com,"4129247123,,,,522178#"
Worldwide Primary Purpose Group,Tuesday,5:00 pm,https://zoom.us/j/759556794?fbclid=IwAR1o3osJ_0e-3MEPtA9-nTVJzN1yH_wQIHTiFe5F3tdH3ippEpArXzFL8SA,"10:00 PM CST  12 & 12 - An in-depth  look at our other text, the 12 & 12","Audio,Closed,Tuesday,Video,Women",wwppg@yahoo.com,
AAOnline Global Chat,Tuesday,5:30 pm,http://aaonline.org,Learn more about us at: aaonline.org,"Big Book,Chat,Discussion,Open,Speaker,Tuesday",ttsoberalcoholic@aaonline.org,
Cabo Hacienda Group,Tuesday,5:30 pm,https://nyintergroup.zoom.us/j/2386523117,Please email cabohaciendagroup@gmail.com for the password.,"Audio,Discussion,Open,Tuesday,Video",cabohaciendagroup@gmail.com,
Columbus Serenity Web Group,Tuesday,5:30 pm,http://columbusserenity.com/,Columbus Serenity Web Groups meetings are rotating format meetings using Zoom chat and phone call in. Follow the link (https://www.ColumbusSerenity.org) to find meeting joining information.,"Audio,Closed,Tuesday,Video",cgcmh1@gmail.com,
Dirty Rotten Drunks,Tuesday,5:30 pm,https://us02web.zoom.us/j/84135211674,"Tuesday 6:30 p.m. discussion meeting following AA member  ""experience strength and hope"" lead,, and kicking out a discussion topic.  We gathered together with George Tyler, dying in a nursing home, to found the meeting which continued there up until Covid shutdown, now on Zoom.  George said we were ""nothing but a bunch of dirty rotten drunks.""","Audio,Discussion,Open,Tuesday,Video",dirtyrottendrunks@gmail.com,
"Drama and Drunks: AA for Artists, Dramatists, Writers and more, Oh my!",Tuesday,5:30 pm,https://us02web.zoom.us/j/89700050389,"Zoom Passcode, if any: Please e-mail aaforartists@gmail.com to request passcode for Tuesday meeting.","Audio,Open,Tuesday,Video",aaforartists@gmail.com,
"Matawan, NJ: 62nd Rule Group",Tuesday,5:30 pm,https://us02web.zoom.us/j/4218617157,"Zoom Passcode, if any: PW: 000787","Audio,Closed,Discussion,Speaker,Telephone,Tuesday,Video",62ndrulegroup.matawan@gmail.com,16468769923
Meditating Peacocks,Tuesday,5:30 pm,,https://www.columbusserenity.org/tuesday,"Audio,Open,Telephone,Tuesday,Video",,"3126266799,,6653642912"
The Shawnee Group,Tuesday,5:30 pm,https://zoom.us/j/9136311212,Email for password: ShawneeGroupAA@gmail.com,"Audio,Closed,Tuesday,Video",ShawneeGroupAA@gmail.com,
Virus or no Virus - 6:30,Tuesday,5:30 pm,https://us06web.zoom.us/j/566890868,"The topic can always be changed based on the desires of the members and we turn to a First Step meeting when a newcomer identifies. We read the Preamble, Steps, Traditions, and 9th Step Promises at the beginning of each meeting and close with chips, 7th tradition, announcements, and 12th tradition reminder, before closing in prayer.","Big Book,Discussion,Open,Speaker,Tuesday,Video",virusornovirus@gmail.com,19292056099
Evening Reflections,Tuesday,5:45 pm,https://us02web.zoom.us/w/979686523,"Meeting Access Code, if any: worksteps","Audio,Closed,Discussion,Tuesday,Video",,
19th Street Online,Tuesday,6:00 pm,https://us04web.zoom.us/j/92783661054,Web Site: http://www.aaharrisburg.org/local-and-online-meetings-information/,"Audio,Big Book,Closed,Discussion,Tuesday,Video",jowi681@yahoo.com,
310 at night,Tuesday,6:00 pm,,From: 6:45pm - 6:50pm ET each night before the meeting to welcome new folks.,"Open,Telephone,Tuesday",,"7875097648,,4993276"
A Vision for You,Tuesday,6:00 pm,https://ohioroundup.org/online-aa-meetings/,"In response to the Coronavirus public health crisis, we are offering online, Zoom-based open LGBT AA meetings Tuesdays at 7pm, Fridays at 8pm, and Saturdays at 9am.","Audio,LGBTQIAA+,Open,Tuesday,Video",geobear7@gmail.com,
A Way Out,Tuesday,6:00 pm,https://us02web.zoom.us/j/82303359680,Password: Please email awayoutmeeting@gmail.com,"Audio,Big Book,Open,Tuesday,Video",awayoutmeeting@gmail.com,
AA Friends & Family,Tuesday,6:00 pm,https://us02web.zoom.us/j/5082441937,Saturday: 8am Eastern -- Open Discussion; 7pm Eastern -- Speaker,"Audio,Open,Telephone,Tuesday,Video",aafriendsandfamily01@gmail.com,"13462487799,,5082441937#"
AA Serenity Group ( Tampa FL ),Tuesday,6:00 pm,https://us02web.zoom.us/j/78970547193,Email SerenityGroup7pm@hotmail.com for Passcode,"Audio,Open,Tuesday,Video",SerenityGroup7pm@hotmail.com,"16465588656,,,,,,,,78970547193#,,,,,,0#"
Austin 1313 Online,Tuesday,6:00 pm,https://us05web.zoom.us/j/7525550288?pwd=aklsa0JPWjRrMjhoOXVueDZBY2JDZz09,No passcode required - waiting room enabled.,"Discussion,Open,Speaker,Tuesday,Video",,
Back to Basics,Tuesday,6:00 pm,https://us02web.zoom.us/j/88472048994?pwd=Q2d3YytPUUJnZTNPYjlSdnVKOGt6Zz09,Password: 995083,"Audio,Big Book,Open,Tuesday,Video",Tom1989april@gmail.com,16468769923
Beginners Book Study,Tuesday,6:00 pm,https://us02web.zoom.us/j/7085144655?pwd=aXlZaVpKa0hCVE9PRTJ3a3AvOGRiZz09,"Meeting Access Code, if any: sobriety","Audio,Big Book,Discussion,Open,Tuesday,Video",beginnersbookstudymeeting@gmail.com,
Broad Highway,Tuesday,6:00 pm,https://us02web.zoom.us/j/96416684628,Those who wish to attend will need to email broadhighwayKY@gmail.com at least 30 minutes before meeting to receive  log in number and pass code,"Discussion,Open,Tuesday,Video",BroadHighwayKY@gmail.com,
East Liberty/Calvary Beginners,Tuesday,6:00 pm,https://zoom.us/j/2980975761,Email: ketner@ketner.com,"Audio,Closed,Tuesday,Video",ketner@ketner.com,"4124419316,,Calvary"
Eastern CT Sober Friends 7pm,Tuesday,6:00 pm,https://us02web.zoom.us/j/638777349,An evening daily online topic meeting that has different themes each day of the week. Monday is a 12&12 Step Meeting. Tuesday is a Big Book Meeting. Wednesday is a As Bill Sees It Meeting. Thursday is a Living Sober Meeting. Friday is a Came to Believe Meeting. Saturday is a Daily Reflections Meeting. Sunday is a Tenth Step Meeting. Open to Everyone. Meets at 7pm EST. 7 days a week. Waiting room enabled.,"Audio,Open,Tuesday,Video",easternctsoberfriends@gmail.com,
Grapevine,Tuesday,6:00 pm,https://meet.google.com/kkz-yhct-onr,Google Meet Meeting Code:  kkz-yhct-onr,"Audio,Open,Telephone,Tuesday,Video",TuesdayGrapevine@gmail.com,
GREAT FACTS SPEAKER,Tuesday,6:00 pm,https://zoom.us/j/635148435?pwd=RlE2d0RuWmh0d3psdHJRaldXMWJkdz09,The password is 232167,"Audio,Open,Speaker,Tuesday,Video",greatfactsmeeting@gmail.com,
Hawaii Online Meetings,Tuesday,6:00 pm,https://zoom.us/j/5455786334?pwd=S3F6K1hyWkhsMENJWFRQNnV6eW9tZz09,"+13462487799,,5455786334# US (Houston)","Audio,Open,Telephone,Tuesday,Video",hawaiionlinemeetings@gmail.com,"13462487799,,5455786334"
Hawley Wallenpaupack Group,Tuesday,6:00 pm,https://us02web.zoom.us/j/268756562?pwd=UWVlakNlRlpZYnpmN2VYaU11Q1c1QT09,This is a beginners meeting where new comers are encouraged to share fears and doubts in early recovery while getting the chance to hear experienced members share as well,"Audio,Closed,Tuesday,Video",rorr1954@hotmail.com,
Indiana friendly Group women's Meeting,Tuesday,6:00 pm,,"Public Email Contact, if any: indianafriendlygroup@gmail.com","Audio,Closed,Tuesday,Video,Women",indianafriendlygroup@gmail.com,
Into Action Group,Tuesday,6:00 pm,https://us02web.zoom.us/j/83563424356?pwd=NHJ3bmdZclNIOElvZFpvTWNMY0J5dz09,"We decided to become a permanently virtual meeting because in an effort to reach out to individuals with accessibilities issues and those who prefer a virtual format. Anyone with an alcohol problem is welcome!  No passcode required, waiting room enabled.","Audio,Closed,Discussion,Speaker,Telephone,Tuesday,Video",IntoAction1935@gmail.com,6465588656
Journey To Recovery,Tuesday,6:00 pm,https://us02web.zoom.us/j/72600169689,"Zoom Passcode, if any: p132","Audio,Closed,Tuesday,Video",JourneyToRecoveryMusk@gmail.com,
LGBTQ+ & Friends AA Online,Tuesday,6:00 pm,,"If you are interested in joining our recurring meetings, please email LGBTQIAA+qandfriendsaa@gmail.com. You will then receive an email acknowledging your request within 24-48 business hours. Additionally, you will receive a meeting invitation to join our meetings (also within that original 24-48 business hours window).","Audio,LGBTQIAA+,Open,Tuesday,Video",lgbtqandfriendsaa@gmail.com,
LOL Group (Lambda on-line),Tuesday,6:00 pm,http://us02web.zoom.us/j/89788907961?pw=di8yVndlb0puMldteWlvdkhrLzQ1Zz09,Open to all. Meets at 7pm EST daily.,"Audio,Discussion,LGBTQIAA+,Open,Tuesday,Video",Camposisrael0@gmail.com,
Mountain Evening,Tuesday,6:00 pm,,Email for participation information.,"Audio,Closed,Tuesday,Video",kay@kayallison.com,
"New Soil, New Roots",Tuesday,6:00 pm,https://zoom.us/join,"Meeting Access Code, if any: love","Audio,Discussion,Open,Speaker,Telephone,Tuesday,Video",aa.mtgschedule@gmail.com,"6699006833,,725-309-4299"
O*AAT,Tuesday,6:00 pm,https://us02web.zoom.us/j/84451121341,Passcode: 031206,"Audio,Discussion,Open,Telephone,Tuesday,Video",ozaat.today@gmail.com,"19294362866,,,,84451121341#"
Pass it ON,Tuesday,6:00 pm,https://us02web.zoom.us/j/5748311805,"Zoom Passcode, if any: George74","Audio,Discussion,Open,Speaker,Tuesday,Video",Ghol@windstream.net,5705845018
Pee\Dee AA,Tuesday,6:00 pm,https://us04web.zoom.us/j/442521837,Open Discussion Meeting,"Audio,Big Book,Open,Tuesday,Video",windgapranch@gmail.com,
Quarantined and Sober 7:00pm,Tuesday,6:00 pm,https://atlantaaa.org/meetings/quarantined-and-sober-virtual/,"Public Email Contact, if any: quarantinedandsober@gmail.com","Audio,Discussion,Open,Speaker,Tuesday,Video",quarantinedandsober@gmail.com,
Real Talk Recovery,Tuesday,6:00 pm,https://us02web.zoom.us/j/82289830936,Password: 919114,"Audio,Big Book,Discussion,Open,Speaker,Telephone,Tuesday,Video",realtalkrecoveryaa@gmail.com,"88209968751,,2020"
Renfrew International 12 and 12,Tuesday,6:00 pm,https://us04web.zoom.us/j/531046178,"A meeting based in Renfrew Scotland that does a reading every night from the Twelve Steps and Twelve Traditions then we open up for people to share on the reading we have been going for 16 months now and have people from all over the world joining us Canada, USA, Holland, Australia, Czech Republic, Ireland. No Password Required","Audio,Open,Telephone,Tuesday,Video",renfrewinternational12and12@gmail.com,3126266799
Restoring Life,Tuesday,6:00 pm,https://zoom.us/j/2562449384,"Public Phone Number, if any: 5029755199","Audio,Big Book,Discussion,Open,Speaker,Telephone,Tuesday,Video,Young People",deborisawright29@gmail.com,5029755199
Serenity Now Group,Tuesday,6:00 pm,https://us02web.zoom.us/j/89661857145?pwd=NWIzbXVoOGtNaDdscGQyK2NHZllZZz09,"The Serenity Now group of Alcoholics Anonymous is an online only AA group. All are welcome. We ask that sharing your experience, strength, and hope be limited only to those who seek to achieve or maintain sobriety. This group is LGBTQ+ friendly and no alcoholic will be turned away. We ask that you attend this zoom meeting as you would present yourself at an in person meeting. This meeting is to be a safe place for everyone. We meet seven days a week at 7pm EST. Meeting password is 756643.","Audio,Big Book,Discussion,LGBTQIAA+,Open,Tuesday,Video",serenitynowgroupaa@gmail.com,
SOS Group,Tuesday,6:00 pm,https://us02web.zoom.us/j/132239735?pwd=RnYyaWY5ZDlqcEVxMEl5YnpEeXFzQT09,"Meeting Access Code, if any: 132 239 735 , 8675309","Audio,Open,Speaker,Tuesday,Video",thesosgroupaa@gmail.com,"16465588656,,132239735#"
Staying Sober,Tuesday,6:00 pm,https://us02web.zoom.us/j/82401717709?pwd=dithdFdsaHRoNkZjeUsrQWwvSjlZQT09,"This is a closed AA zoom meeting , which involves a reading from the personal stories from the 4th edition, followed by discussion.","Audio,Big Book,Closed,Discussion,Tuesday,Video,Young People",williamsportpaypaa@gmail.com,
Steps to Sobriety,Tuesday,6:00 pm,https://zoom.us/j/375832386,"We study one step every week reading from the 12 and 12. The meeting opens with the readings, a speaker shares his/her experience, strength and hope regarding the step, and then floor is open. Please confine your remarks to the step and/or any specific problem(s) relating to alcohol. Information regarding the 7th tradition will be provided during the meeting.","Audio,Closed,Telephone,Tuesday,Video",Steps2Sobriety@gmail.com,"13126266799,,375832386#"
The Promises,Tuesday,6:00 pm,https://us06web.zoom.us/j/3308716300?pwd=T0pQSThNODQvRDkwRkMyTVhJdjJkUT09,"Closed discussion meeting for anyone with the desire to stop drinking.  No passcode required, waiting room enabled.","Audio,Closed,Tuesday,Video",hepromise81521@yahoo.com,
Truth be Told Tuesday,Tuesday,6:00 pm,https://us02web.zoom.us/w/86312937919,"Zoom Passcode, if any: 145594","Audio,Big Book,Tuesday,Video,Women",truthbetoldtuesday@gmail.com,
We Are Not Saints Newcomer Recovery,Tuesday,6:00 pm,https://zoom.us/s/88684352306,Meets every Tuesday at 7pm EST.,"Audio,Big Book,Discussion,Open,Speaker,Tuesday,Video",NotSaintsNewcomer@gmail.com,8630237203
WGAT Virtual - Women's Living Sober,Tuesday,6:00 pm,https://us02web.zoom.us/j/84317972449,We provide time for sharing any burning desires and support for newcomers. Come join our family of unconditional love. We hope to see you soon! No passcode necessary.,"Audio,Open,Tuesday,Video,Women",info@wgatvirtual.com,
Zoomigos,Tuesday,6:00 pm,https://us02web.zoom.us/j/103138049,"Open meeting of AA. Discussion of readings from the BB and 11th step meditation on Mondays, Tuesdays and Fridays. Newcomers and Old Timers comprise the fellowship here and you are most welcome","Discussion,Open,Tuesday,Video",zomigos123@gmail.com,
AA in the Evening,Tuesday,6:15 pm,https://us02web.zoom.us/j/670382735,"Meeting Access Code, if any: zoo","Audio,Open,Telephone,Tuesday,Video",johndoe363@aol.com,5612013277
@ Home Meeting of AA,Tuesday,6:30 pm,,Please Feel Free to Join Us,"Audio,Closed,Telephone,Tuesday",,"7127704955,,330938"
Back Porch Meetings,Tuesday,6:30 pm,http://www.backporchmeetings.com,"Web Site, if any: http://www.backporchmeetings.com","Audio,Open,Telephone,Tuesday,Video",www.backporchmeetings@outlook.com,7196961608
Bad Boys Big Book,Tuesday,6:30 pm,https://zoom.us/j/8722665149,Zoom ID: 872 266 5149,"Audio,Big Book,Closed,Discussion,Men,Telephone,Tuesday,Video",irishles6@gmail.com,"4165187587,,8722665149#"
Big Book Revealed,Tuesday,6:30 pm,https://us02web.zoom.us/j/215695635,"Zoom Passcode, if any: 742917","Audio,Big Book,Tuesday,Video",trudgequestions@gmail.com,
Bottom Line Group,Tuesday,6:30 pm,https://us02web.zoom.us/j/284511426,"Zoom Passcode, if any: 074160","Closed,Discussion,Telephone,Tuesday,Video",bottomline1192@gmail.com,19292056099
Brampton Bad Boys Big Book,Tuesday,6:30 pm,"https://teams.microsoft.com/l/meetup-join/19:meeting_YzA5ZjdlZTMtMDFhMC00OWI2LWJjZGUtZmE3N2NlOWNkNWRm@thread.v2/0?context=Tid:8ac08653-86be-4f70-9f92-6e1a1316a0fc,Oid:ffc42f0f-a575-42b4-8e20-b191d0266104",badboysbrampton@gmail.com,"Audio,Big Book,Closed,Discussion,Men,Tuesday,Video",,
Clear Lake Lambda,Tuesday,6:30 pm,https://us02web.zoom.us/j/85262061788,Please contact kwerx@comcast.net for passcode.,"Audio,Discussion,LGBTQIAA+,Open,Tuesday,Video",kwerx@comcast.net,
Creative Arts,Tuesday,6:30 pm,,"For security reasons, please email creativearts.newhaven@gmail.com for the meeting ID and password","Audio,Discussion,Open,Telephone,Tuesday,Video",creativearts.newhaven@gmail.com,
Florida Juno Jupiter Beach AA  End of the Road,Tuesday,6:30 pm,https://us02web.zoom.us/j/2240230933,Password:eotr,"Audio,Big Book,Discussion,Open,Speaker,Telephone,Tuesday,Video",,16465588656
Gay/Bi/Trans Men: Living Sober,Tuesday,6:30 pm,https://us02web.zoom.us/s/87366922670,"Zoom Passcode, if any: 735211","Big Book,Discussion,LGBTQIAA+,Men,Speaker,Tuesday,Video",livingsober.gbt@gmail.com,16465588656
"Groton, MA, USA ""Easy Does It Group""",Tuesday,6:30 pm,https://us02web.zoom.us/j/4981289494,"Zoom Passcode, if any: EasyDoesIt - (all one word, no spaces, uppercase E, D, and I.)","Audio,Open,Speaker,Telephone,Tuesday,Video",jjimbob7656@gmail.com,"19292056099,,,,498128 9494#,,, *3587513095#"
Into Action - WOMENS MEETING,Tuesday,6:30 pm,https://us02web.zoom.us/j/604717036?pwd=YWNqUGJRQlVXdW9MZjhVRmE2MzdUdz09,Meeting Access Code: 833048,"Big Book,Discussion,Open,Tuesday,Video,Women",,
Lake Erie Agnostics,Tuesday,6:30 pm,https://us02web.zoom.us/j/976241419,"Open discussion meeting with changing weekly topics. Open to all - ""the only requirement for membership is a desire to stop drinking..."". EST Ohio time zone","Secular,Tuesday,Video",,
Lambda Dallas AA Meeting,Tuesday,6:30 pm,https://zoom.us/j/827282878,"Web Site, if any: https://lambdadallas.org","Discussion,LGBTQIAA+,Open,Tuesday,Video",,
Never Alone Again,Tuesday,6:30 pm,http://www.neveralonegroup.org,"Please visit our website for details about the meeting, links to other meetings and to sign up as a speaker (90 days sobriety requested). We would love to hear from you.","Audio,Closed,Tuesday,Video",neveraloneagaingroup@gmail.com,
NOVA ALON-A-THON,Tuesday,6:30 pm,https://www.jiffyimages.com/anonymous,"You can join and socialize @7:15pm, stay until 8:45pm","Audio,Closed,Tuesday,Video",jr@jiffyimages.com,
Ringwood Remote,Tuesday,6:30 pm,https://zoom.us/j/625407196,"Zoom Passcode, if any: 201103","Audio,Closed,Telephone,Tuesday,Video",Ringwoodmeeting@gmail.com,6465588656
Sobriety Unplugged,Tuesday,6:30 pm,https://zoom.us/j/177474654?pwd=R005WWIrZ3VZRytYTDYrczRwTmg1Zz09,=Email aaron@4bsheep.com for weekly Study Guide,"Big Book,Closed,Tuesday,Video",sobrietyunplugged@yahoo.com,16465588656177474654
Sundowners Group,Tuesday,6:30 pm,https://us04web.zoom.us/j/5636298165,"Public Phone Number, if any: (208) 557-3232","Audio,Big Book,Discussion,Open,Tuesday,Video",sundownersgrp@gmail.com,2085573232
Survivors Group,Tuesday,6:30 pm,,ID: 89390953434  PW: 465935,"Audio,Closed,Discussion,Telephone,Tuesday,Video",survivorsgroup123@gmail.com,17866351003
Vivre et Laisser Vivre,Tuesday,6:30 pm,https://zoom.us/j/497838842,"+16699006833,,497838842# US (San Jose)","Audio,French,Open,Telephone,Tuesday,Video",,"16465588656,,497838842"
AA Grapevine Story Hour,Tuesday,6:45 pm,https://us02web.zoom.us/j/2387900906,Zoom ID: 238-790-0906,"Audio,Discussion,Open,Tuesday,Video",Grapevinestoryhour@gmail.com,
"""A Solution"" Group",Tuesday,7:00 pm,https://us02web.zoom.us/j/89617720791?pwd=bTNETG5tQXhHWEtoQlpBWVNRNXgvQT09,"Zoom Passcode, if any: 076658","Audio,Open,Tuesday,Video",asolution2021@gmail.com,13462487799
@Solution 62,Tuesday,7:00 pm,http://solution62.org/,Saturday Night: Speaker meeting,"Audio,Big Book,Discussion,Open,Speaker,Telephone,Tuesday,Video",aasolution62@gmail.com,
"1 AA No Rules, No Drama, Just A Primary Purpose",Tuesday,7:00 pm,https://us02web.zoom.us/j/76925189247?pwd=TTZhTFlaTGpCVmxlanlVWEt1UGxWZz09,No passcode required waiting room enabled.,"Audio,Discussion,Open,Tuesday,Video",nornodjpp@gmail.com,3372519562
1 Clear Cut Direction Texas Style,Tuesday,7:00 pm,https://us04web.zoom.us/j/8947287559,Email Contact: ccdntex@gmail.com,"Audio,Open,Tuesday,Video",ccdntex@gmail.com,
1 Online 12 Step Recovery AA Newcomer Open Share,Tuesday,7:00 pm,https://zoom.com/j/3117908992,PASSWORD IS 13 IF REQUIRED,"Audio,Discussion,Open,Tuesday,Video",online12steprecovery.com@gmail.com,
100 Men And Women Alcoholics Anonymous Meeting,Tuesday,7:00 pm,https://us02web.zoom.us/j/88906940447,https://us02web.zoom.us/j/88906940447,"Audio,Big Book,Closed,Discussion,Tuesday,Video",onehundredmenandwomen@hotmail.com,
12&12 (D26) #117125,Tuesday,7:00 pm,https://us02web.zoom.us/j/3084433008?pwd=K1Fnd0dGQ0tEQUxsME91NWZCMmsrQT09,Zoom Passcode: K868CH,"Audio,Closed,Telephone,Tuesday",group12an12@gmail.com,1301715859230844330080066740
A New Wave Young Peoples Group,Tuesday,7:00 pm,https://us02web.zoom.us/j/88070968006,"This is an open meeting for all young people, that means young in age OR young at heart.A New Wave Young People's group meets from 8-9pm EST and we welcome all and any who want to attend that have a desire to stop drinking. This group is based out of Cape Cod but is open to people from anywhere in the world to attend. The schedule goes like this: Monday-Friday As Bill Sees it, Saturday- Speaker Meeting, Sundays- Small Reading from the Big Book. The meeting does not close at 9 pm, it is followed by an after party and will remain open until all members that would like to share have had the opportunity to do so. Please join us :).  No passcode required, waiting room enabled.","Big Book,Discussion,LGBTQIAA+,Open,Speaker,Tuesday,Video,Young People",Anewwaveypg@gmail.com,
"A Vision for You, Pacific",Tuesday,7:00 pm,https://us02web.zoom.us/j/5787053569,"Public Email Contact, if any: psims4u@gmail.com","Audio,Open,Tuesday,Video",psims4u@gmail.com,"2066834947,,5787053569#"
AA Big Book Cover-to-Cover,Tuesday,7:00 pm,,Phone Number 351-888-7365,"Audio,Big Book,Discussion,Open,Telephone,Tuesday",sobrietysunset@gmail.com,3518887365
AA Serenity Begins Here,Tuesday,7:00 pm,https://www.zoom.us/j/7974534774,www.aaserenitybeginshere.com,"Audio,Open,Tuesday,Video",aaserenitybeginshere@gmail.com,
AA Women's Carry This Message Candlelight Meeting,Tuesday,7:00 pm,https://us02web.zoom.us/j/8862223191,Password: &>PG89&lt;bB!,"Open,Tuesday,Video,Women",aacarrythismessage@gmail.com,
AA-Alive,Tuesday,7:00 pm,http://www.aa-alive.net/,Please note:  We do not verify attendance at meetings,"Chat,Discussion,Open,Steps / Traditions,Tuesday",Info@aa-alive.org,
"Another Chance Online - Port Charlotte, FL",Tuesday,7:00 pm,http://www.anotherchance.online,Friday: Open Discussion,"Audio,Open,Tuesday,Video",jongeorge2000@gmail.com,
Bill's 11th Step Meditation,Tuesday,7:00 pm,https://us02web.zoom.us/j/5013123823,"Zoom Passcode, if any: 11thStep","Audio,Open,Tuesday,Video",BillsDriveThru@gmail.com,
BOYZ II MEN,Tuesday,7:00 pm,https://us04web.zoom.us/j/594937824,"Zoom Passcode, if any: 291266","Audio,Big Book,Discussion,Men,Open,Tuesday,Video",aaboyziimenaa@gmail.com,
Clifton-aholics Bigbook Round Robin,Tuesday,7:00 pm,https://zoom.com.cn/j/81190683556,"Zoom Passcode, if any: bigbook","Audio,Big Book,Discussion,Open,Tuesday,Video",bigbooktuesday@gmail.com,
Crazy Monkey AA Group,Tuesday,7:00 pm,https://zoom.us/j/87594927269,"Meeting Access Code, bahalana","Discussion,Open,Tuesday,Video",,
Dr. Bob's Other Nightmare,Tuesday,7:00 pm,https://us02web.zoom.us/j/88427458473,Meeting ID:  884 2745 8473,"Audio,Closed,Discussion,Secular,Tuesday,Video",aa.wild1s@gmail.com,
Four Corners Group,Tuesday,7:00 pm,https://zoom.us/j/447886036?pwd=MGQrOWdwSVpCYjFOVzdhRzhFaG5Udz09,Meeting ID: 447 886 036,"Audio,Open,Tuesday,Video",,
Friends of Bill W. Online,Tuesday,7:00 pm,https://us02web.zoom.us/j/523384257,On-Line Meeting link https://us02web.zoom.us/j/523384257,"Audio,Closed,Discussion,Speaker,Tuesday,Video",friendsofbillonline@gmail.com,
Happy Destiny Big Book Study Group,Tuesday,7:00 pm,https://us02web.zoom.us/j/762458633?pwd=YllMWUQwRGgvd1lwaDNwK0NBeGZWUT09,"Public Email Contact, if any: AAHappyDestinyGroup@gmail.com","Big Book,Closed,Tuesday,Video",AAHappyDestinyGroup@gmail.com,
Hero AA Zen Zone,Tuesday,7:00 pm,https://us02web.zoom.us/j/7725404263,"Zoom Passcode, if any: 123123","Audio,Big Book,Open,Speaker,Telephone,Tuesday,Video",,7052421130
Indiana Friendly Group,Tuesday,7:00 pm,https://us02web.zoom.us/w/437802538,"Public Phone Number, if any: 724-422-7197","Audio,Big Book,Discussion,Open,Telephone,Tuesday,Video",indianafriendlygroup@gmail.com,"7244227197,,86091801381#"
It's 5 o'clock Somewhere,Tuesday,7:00 pm,https://us02web.zoom.us/j/4581670709,"5:00pm every day open AA all are welcome Meeting Access Code, if any: 458 167 0709 zoom!","Audio,Discussion,Open,Tuesday,Video",,
